unit_id,symbol,cc,status,error_type,error_message,generated_test_path,notes
JAVA_011_runLengthDecoding,runLengthDecoding,9,EXECUTABLE,,,C:/Users/wuann_/Desktop/SWT_FINAL3/SWT301-SE1944-Group6/results/full_requests/JAVA_011_runLengthDecoding/generated_test.java,raw_sha256=6ce8c0d8f23b0fb7cd0695baad4f65d55d1b96ff9ed34ed5d00ff3904adef6a3; staged_sha256=6ce8c0d8f23b0fb7cd0695baad4f65d55d1b96ff9ed34ed5d00ff3904adef6a3
JAVA_012_checkSudokuBoard,checkSudokuBoard,13,EXECUTABLE,,,C:/Users/wuann_/Desktop/SWT_FINAL3/SWT301-SE1944-Group6/results/full_requests/JAVA_012_checkSudokuBoard/generated_test.java,raw_sha256=ed84f135f37bba2b9dc1b0292bef53689299757aeb7c9b8b890ed19d63e4bf3a; staged_sha256=ed84f135f37bba2b9dc1b0292bef53689299757aeb7c9b8b890ed19d63e4bf3a
JAVA_013_romanToInt,romanToInt,8,EXECUTABLE,,,C:/Users/wuann_/Desktop/SWT_FINAL3/SWT301-SE1944-Group6/results/full_requests/JAVA_013_romanToInt/generated_test.java,raw_sha256=37420a6cd409a9117a383ced1d201178c21570d07085038f03fab3a227f7891f; staged_sha256=37420a6cd409a9117a383ced1d201178c21570d07085038f03fab3a227f7891f
JAVA_014_intToRoman,intToRoman,5,EXECUTABLE,,,C:/Users/wuann_/Desktop/SWT_FINAL3/SWT301-SE1944-Group6/results/full_requests/JAVA_014_intToRoman/generated_test.java,raw_sha256=3dc538a6b0e48ff2fbdd68e656a6d4b3d44c2fcc58e974ca6f3da8024501dcc8; staged_sha256=3dc538a6b0e48ff2fbdd68e656a6d4b3d44c2fcc58e974ca6f3da8024501dcc8
JAVA_015_longestPalindromeSubstring,longestPalindromeSubstring,12,EXECUTABLE,,,C:/Users/wuann_/Desktop/SWT_FINAL3/SWT301-SE1944-Group6/results/full_requests/JAVA_015_longestPalindromeSubstring/generated_test.java,raw_sha256=e7a8d67513a5e9c3c767c2007869fae33f6f74adf8af995202e10cda37b772ed; staged_sha256=e7a8d67513a5e9c3c767c2007869fae33f6f74adf8af995202e10cda37b772ed
JAVA_016_parseCsvLine,parseCsvLine,9,COMPILE_ERROR,JAVA_COMPILATION,[ERROR] COMPILATION ERROR :,C:/Users/wuann_/Desktop/SWT_FINAL3/SWT301-SE1944-Group6/results/full_requests/JAVA_016_parseCsvLine/generated_test.java,raw_sha256=1b36611af37bd599a0091a1d3139215b3e0b1b9d77eec1ec70ff75994987ac0d; staged_sha256=1b36611af37bd599a0091a1d3139215b3e0b1b9d77eec1ec70ff75994987ac0d
JAVA_017_levenshteinDistance,levenshteinDistance,8,EXECUTABLE,,,C:/Users/wuann_/Desktop/SWT_FINAL3/SWT301-SE1944-Group6/results/full_requests/JAVA_017_levenshteinDistance/generated_test.java,raw_sha256=f6c2b9dcc06191904b4d0f56020a6c1ae05ff52f50754e133d085d0f5b4efaed; staged_sha256=f6c2b9dcc06191904b4d0f56020a6c1ae05ff52f50754e133d085d0f5b4efaed
JAVA_018_findPrimeFactors,findPrimeFactors,6,EXECUTABLE,,,C:/Users/wuann_/Desktop/SWT_FINAL3/SWT301-SE1944-Group6/results/full_requests/JAVA_018_findPrimeFactors/generated_test.java,raw_sha256=889facd0bebe495333dfa4226b1cb39e648c542866543d1506f8214cf3d8aee7; staged_sha256=889facd0bebe495333dfa4226b1cb39e648c542866543d1506f8214cf3d8aee7
JAVA_019_luhnCheck,luhnCheck,8,EXECUTABLE,,,C:/Users/wuann_/Desktop/SWT_FINAL3/SWT301-SE1944-Group6/results/full_requests/JAVA_019_luhnCheck/generated_test.java,raw_sha256=3d54c58be62560699796dd1254b9a9dbdc47f65fe1459fb14d4d6e9c21c80154; staged_sha256=3d54c58be62560699796dd1254b9a9dbdc47f65fe1459fb14d4d6e9c21c80154
JAVA_020_simpleHtmlTokenizer,simpleHtmlTokenizer,9,EXECUTABLE,,,C:/Users/wuann_/Desktop/SWT_FINAL3/SWT301-SE1944-Group6/results/full_requests/JAVA_020_simpleHtmlTokenizer/generated_test.java,raw_sha256=a119fd11ba5080ab32d2d57656ee987df3dc57780f397df3259c49f156dab1f7; staged_sha256=a119fd11ba5080ab32d2d57656ee987df3dc57780f397df3259c49f156dab1f7
